employee_id,full_name,age,education_level,hire_date,exit_date,department,job_role,job_level,employment_type,base_salary_annual,store_location,store_location_latitude,store_location_longitude,store_id,manager_id,manager_name,manager_status,is_active,tenure_days,tenure_months,tenure_band,age_band
EMP000001,Marie Kim DDS,23,Master's,2021-04-26,2022-04-13,Store Operations,Cashier,Entry,Full-time,25745.4,Charlotte,35.2271,-80.8431,STR058,EMP001131,Michelle Walls,Executive,False,352,11,6-12,<25
EMP000002,Danny Morgan,26,Master's,2021-09-03,,Store Operations,Sales Associate,Associate,Full-time,39408.57,San Jose,37.3382,-121.8863,STR137,EMP002456,Jennifer Moore,Executive,True,1215,39,3-5,25-34
EMP000003,Crystal Robinson,38,Bachelor's,2016-08-25,,Store Operations,Cashier,Entry,Full-time,29319.94,Jacksonville,30.3322,-81.6557,STR008,EMP000529,Melissa Bishop,Senior Manager,True,3050,100,5+,35-44
EMP000004,Mark Perez,33,Bachelor's,2021-12-10,,Store Operations,Senior Sales Associate,Senior_Associate,Full-time,43979.88,Las Vegas,36.1699,-115.1398,STR063,EMP001305,Tina Walter,Senior Manager,True,1117,36,3-5,25-34
EMP000005,Shannon Jones,24,High School,2018-02-24,,Store Operations,Cashier,Entry,Full-time,23560.19,Chicago,41.8781,-87.6298,STR109,EMP001823,Nicholas Fitzgerald,Senior Manager,True,2502,82,5+,<25
EMP000006,Michael Lewis,36,Bachelor's,2019-03-03,,Store Operations,Sales Associate,Associate,Part-time,17923.16,Detroit,42.3314,-83.0458,STR120,EMP002436,Miranda Murray,Senior Manager,True,2130,69,5+,35-44
EMP000007,Timothy Duncan,45,Bachelor's,2021-11-15,,Store Operations,Sales Associate,Associate,Full-time,28697,New York,40.7128,-74.006,STR048,EMP002585,Kara Rogers,Senior Manager,True,1142,37,3-5,45-54
EMP000008,Richard Aguirre,27,High School,2019-01-26,2021-04-04,Store Operations,Cashier,Entry,Full-time,30661.76,Phoenix,33.4484,-112.074,STR144,EMP002684,David James,Senior Manager,False,799,26,1-3,25-34
EMP000009,Brent Jordan,36,Some College,2021-01-26,2024-10-02,Store Operations,Sales Associate,Associate,Full-time,35213.38,New York,40.7128,-74.006,STR034,EMP002712,Scott Meza,Senior Manager,False,1345,44,3-5,35-44
EMP000010,John Daniel,37,Master's,2019-06-25,,Store Operations,Sales Associate,Associate,Full-time,36496.87,New York,40.7128,-74.006,STR140,EMP000053,Rebecca Valencia,Manager,True,2016,66,5+,35-44
EMP000011,Victoria Garcia,37,Bachelor's,2018-03-30,,Store Operations,Cashier,Entry,Full-time,22205.84,Chicago,41.8781,-87.6298,STR046,EMP000121,Jamie Walton,Manager,True,2468,81,5+,35-44
EMP000012,Gerald Hensley,42,Bachelor's,2019-09-01,,Store Operations,Cashier,Entry,Full-time,31699.1,Boston,42.3601,-71.0589,STR105,EMP000240,Briana Murray,Manager,True,1948,63,5+,35-44
EMP000013,Connor West,36,Some College,2018-06-10,,Store Operations,Cashier,Entry,Full-time,30324.43,San Antonio,29.4241,-98.4936,STR099,EMP000520,Michael Johnson,Manager,True,2396,78,5+,35-44
